ano;genero;pais;total_processos_deferidos
2023;masculino;VENEZUELA;16200
2023;masculino;AFEGANISTÃO;109
2023;masculino;SÍRIA;19
2023;masculino;IRAQUE;5
2023;masculino;BURKINA FASO;2
2023;feminino;VENEZUELA;15637
2023;feminino;AFEGANISTÃO;109
2023;feminino;SÍRIA;7
2023;feminino;IRAQUE;8
2023;feminino;BURKINA FASO;2
2023;nao informado;VENEZUELA;413
2023;nao informado;AFEGANISTÃO;0
2023;nao informado;SÍRIA;0
2023;nao informado;IRAQUE;0
2023;nao informado;BURKINA FASO;0
2024;masculino;VENEZUELA;2644
2024;masculino;AFEGANISTÃO;48
2024;masculino;SÍRIA;10
2024;masculino;IRAQUE;1
2024;masculino;BURKINA FASO;1
2024;feminino;VENEZUELA;2450
2024;feminino;AFEGANISTÃO;40
2024;feminino;SÍRIA;6
2024;feminino;IRAQUE;0
2024;feminino;BURKINA FASO;1
2024;nao informado;VENEZUELA;12
2024;nao informado;AFEGANISTÃO;0
2024;nao informado;SÍRIA;0
2024;nao informado;IRAQUE;0
2024;nao informado;BURKINA FASO;0
