pais;genero;total_processos_arquivados
NEPAL;masculino;7819
NEPAL;feminino;1560
NEPAL;nao especificado;18
VENEZUELA;masculino;4716
VENEZUELA;feminino;3251
VENEZUELA;nao especificado;5
CUBA;masculino;2274
CUBA;feminino;1731
CUBA;nao especificado;2
ANGOLA;masculino;2111
ANGOLA;feminino;1626
ANGOLA;nao especificado;1
COLÔMBIA;masculino;734
COLÔMBIA;feminino;428
COLÔMBIA;nao especificado;0
VIETNÃ;masculino;386
VIETNÃ;feminino;174
VIETNÃ;nao especificado;0
PERU;masculino;149
PERU;feminino;111
PERU;nao especificado;0
ÍNDIA;masculino;248
ÍNDIA;feminino;7
ÍNDIA;nao especificado;0
ARGENTINA;masculino;107
ARGENTINA;feminino;55
ARGENTINA;nao especificado;0
GUINÉ BISSAU;masculino;124
GUINÉ BISSAU;feminino;33
GUINÉ BISSAU;nao especificado;0
OUTROS;masculino;857
OUTROS;feminino;362
OUTROS;nao especificado;1
