pais;genero;total_processos_extintos
VENEZUELA;masculino;3320
VENEZUELA;feminino;2501
VENEZUELA;nao especificado;1575
ANGOLA;masculino;2429
ANGOLA;feminino;2107
ANGOLA;nao especificado;42
CUBA;masculino;2327
CUBA;feminino;1737
CUBA;nao especificado;19
ÍNDIA;masculino;490
ÍNDIA;feminino;19
ÍNDIA;nao especificado;542
NEPAL;masculino;163
NEPAL;feminino;10
NEPAL;nao especificado;631
CHINA;masculino;445
CHINA;feminino;214
CHINA;nao especificado;7
HAITI;masculino;356
HAITI;feminino;263
HAITI;nao especificado;38
COLÔMBIA;masculino;313
COLÔMBIA;feminino;239
COLÔMBIA;nao especificado;2
NIGÉRIA;masculino;399
NIGÉRIA;feminino;56
NIGÉRIA;nao especificado;25
CAMARÕES;masculino;147
CAMARÕES;feminino;95
CAMARÕES;nao especificado;98
OUTROS;masculino;2789
OUTROS;feminino;1077
OUTROS;nao especificado;412
